odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
00011_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,7,0,7,2024-06-01T00:00:00.000,4804,0,9572,0,0,13018.84,0.0,45179.84,0.0,0.0,5999.28,64197.96
00011_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,003-903,ANGELINA,5,0,5,2024-07-01T00:00:00.000,797,0,1519,0,0,2159.87,0.0,7169.68,0.0,0.0,961.31,10290.86
00021_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,007-901,ATASCOSA,1,0,1,2024-06-01T00:00:00.000,771,0,990,0,0,2089.41,0.0,4672.8,0.0,0.0,693.82,7456.03
00029_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,1,0,1,2024-05-01T00:00:00.000,66,0,82,0,0,178.86,0.0,387.04,0.0,0.0,58.05,623.95
00029_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,009-901,BAILEY,3,0,3,2024-06-01T00:00:00.000,1536,0,1847,0,0,4162.56,0.0,8717.84,0.0,0.0,1320.53,14200.93
00033_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,011-902,BASTROP,5,0,5,2024-06-01T00:00:00.000,3874,0,6079,0,0,10498.54,0.0,28692.88,0.0,0.0,4030.21,43221.63
00050_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,6,0,6,2024-06-01T00:00:00.000,6489,0,13461,0,0,17585.19,0.0,63535.92,0.0,0.0,8365.35,89486.46
00050_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,4,0,4,2024-07-01T00:00:00.000,2688,0,8181,0,0,7284.48,0.0,38614.32,0.0,0.0,4748.18,50646.98
00050_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00050,TEMPLE ISD,Educational Institution,School Food Authority,12,2,014-909,BELL,3,0,3,2024-08-01T00:00:00.000,696,0,1638,0,0,1886.16,0.0,7731.36,0.0,0.0,992.9,10610.42
00085_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,32,0,32,2024-06-01T00:00:00.000,24047,0,39762,0,0,65167.37,0.0,187676.64,0.0,0.0,26015.36,278859.37
00085_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00085,NORTH EAST ISD,Educational Institution,School Food Authority,20,4,015-910,BEXAR,33,0,33,2024-07-01T00:00:00.000,13117,0,19584,0,0,35547.07,0.0,92436.48,0.0,0.0,13153.92,141137.47
00087_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,7,0,7,2024-06-01T00:00:00.000,15062,0,25973,0,0,40818.02,0.0,122592.56,0.0,0.0,16820.79,180231.37
00087_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,3,0,3,2024-07-01T00:00:00.000,2532,0,4262,0,0,6861.72,0.0,20116.64,0.0,0.0,2776.35,29754.71
00087_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,School Food Authority,20,4,015-912,BEXAR,2,0,2,2024-08-01T00:00:00.000,63,0,285,0,0,170.73,0.0,1345.2,0.0,0.0,157.21,1673.14
00138_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00138,SOMERVILLE ISD,Educational Institution,School Food Authority,6,3,026-902,BURLESON,1,0,1,2024-06-01T00:00:00.000,640,0,973,0,0,1734.4,0.0,4592.56,0.0,0.0,650.4,6977.36
00171_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00171,HART ISD,Educational Institution,School Food Authority,16,1,035-902,CASTRO,1,0,1,2024-06-01T00:00:00.000,208,0,315,0,0,563.68,0.0,1486.8,0.0,0.0,210.78,2261.26
00181_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00181,CHILDRESS ISD,Educational Institution,School Food Authority,16,1,038-901,CHILDRESS,1,0,1,2024-05-01T00:00:00.000,0,0,321,0,0,0.0,0.0,1515.12,0.0,0.0,158.09,1673.21
00181_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00181,CHILDRESS ISD,Educational Institution,School Food Authority,16,1,038-901,CHILDRESS,1,0,1,2024-06-01T00:00:00.000,0,0,3432,0,0,0.0,0.0,16199.04,0.0,0.0,1690.26,17889.3
00187_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00187,MORTON ISD,Educational Institution,School Food Authority,17,1,040-901,COCHRAN,1,0,1,2024-06-01T00:00:00.000,233,0,661,0,0,631.43,0.0,3119.92,0.0,0.0,387.87,4139.22
00205_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00205,WYLIE ISD-WYLIE,Educational Institution,School Food Authority,10,2,043-914,COLLIN,1,0,1,2024-06-01T00:00:00.000,0,2736,2767,0,0,0.0,3009.6,13060.24,0.0,0.0,1732.11,17801.95
00222_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00222,GAINESVILLE ISD,Educational Institution,School Food Authority,11,2,049-901,COOKE,5,0,5,2024-06-01T00:00:00.000,3330,0,5505,0,0,9024.3,0.0,25983.6,0.0,0.0,3601.99,38609.89
00222_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00222,GAINESVILLE ISD,Educational Institution,School Food Authority,11,2,049-901,COOKE,5,0,5,2024-07-01T00:00:00.000,257,0,813,0,0,696.47,0.0,3837.36,0.0,0.0,469.15,5002.98
00224_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,School Food Authority,11,2,049-903,COOKE,2,0,2,2024-05-01T00:00:00.000,143,0,248,0,0,387.53,0.0,1170.56,0.0,0.0,160.39,1718.48
00224_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,School Food Authority,11,2,049-903,COOKE,2,0,2,2024-06-01T00:00:00.000,2101,0,2046,0,0,5693.71,0.0,9657.12,0.0,0.0,1569.68,16920.51
00224_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,School Food Authority,11,2,049-903,COOKE,2,0,2,2024-07-01T00:00:00.000,653,0,1074,0,0,1769.63,0.0,5069.28,0.0,0.0,703.63,7542.54
00224_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,School Food Authority,11,2,049-903,COOKE,2,0,2,2024-08-01T00:00:00.000,49,0,112,0,0,132.79,0.0,528.64,0.0,0.0,68.27,729.7
00279_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00279,GARLAND ISD,Educational Institution,School Food Authority,10,2,057-909,DALLAS,26,0,26,2024-06-01T00:00:00.000,22582,0,44185,0,0,61197.22,0.0,208553.2,0.0,0.0,27801.8,297552.22
00279_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00279,GARLAND ISD,Educational Institution,School Food Authority,10,2,057-909,DALLAS,9,0,9,2024-07-01T00:00:00.000,6733,0,8106,0,0,18246.43,0.0,38260.32,0.0,0.0,5793.29,62300.04
00283_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,3,0,3,2024-05-01T00:00:00.000,291,0,278,0,0,788.61,0.0,1312.16,0.0,0.0,214.76,2315.53
00283_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,24,0,24,2024-06-01T00:00:00.000,11191,0,19552,0,0,30327.61,0.0,92285.44,0.0,0.0,12622.95,135236.0
00283_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,3,0,3,2024-07-01T00:00:00.000,1032,0,2309,0,0,2796.72,0.0,10898.48,0.0,0.0,1413.24,15108.44
00298_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,1,0,1,2024-06-01T00:00:00.000,201,0,456,0,0,544.71,0.0,2152.32,0.0,0.0,278.35,2975.38
00307_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00307,CUERO ISD,Educational Institution,School Food Authority,3,3,062-901,DEWITT,2,0,2,2024-06-01T00:00:00.000,1200,0,1801,0,0,3252.0,0.0,8500.72,0.0,0.0,1207.99,12960.71
00333_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00333,FERRIS ISD,Educational Institution,School Food Authority,10,2,070-905,ELLIS,1,0,1,2024-06-01T00:00:00.000,1290,0,2830,0,0,3495.9,0.0,13357.6,0.0,0.0,1738.86,18592.36
00338_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00338,RED OAK ISD,Educational Institution,School Food Authority,10,2,070-911,ELLIS,2,0,2,2024-06-01T00:00:00.000,2319,0,2590,0,0,6284.49,0.0,12224.8,0.0,0.0,1895.91,20405.2
00345_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00345,CLINT ISD,Educational Institution,School Food Authority,19,1,071-901,EL PASO,1,0,1,2024-05-01T00:00:00.000,329,0,347,0,0,891.59,0.0,1637.84,0.0,0.0,258.91,2788.34
00345_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00345,CLINT ISD,Educational Institution,School Food Authority,19,1,071-901,EL PASO,14,0,14,2024-06-01T00:00:00.000,13202,0,13199,0,0,35777.42,0.0,62299.28,0.0,0.0,10032.05,108108.75
00349_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00349,YSLETA ISD,Educational Institution,School Food Authority,19,1,071-905,EL PASO,8,0,8,2024-06-01T00:00:00.000,11545,0,14853,0,0,31286.95,0.0,70106.16,0.0,0.0,10403.39,111796.5
00349_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00349,YSLETA ISD,Educational Institution,School Food Authority,19,1,071-905,EL PASO,1,0,1,2024-07-01T00:00:00.000,251,0,453,0,0,680.21,0.0,2138.16,0.0,0.0,290.24,3108.61
00381_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00381,FLOYDADA ISD,Educational Institution,School Food Authority,17,1,077-901,FLOYD,1,0,1,2024-06-01T00:00:00.000,670,0,1468,0,0,1815.7,0.0,6928.96,0.0,0.0,902.22,9646.88
00394_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00394,DILLEY ISD,Educational Institution,School Food Authority,20,4,082-902,FRIO,2,0,2,2024-06-01T00:00:00.000,2727,0,3372,0,0,7390.17,0.0,15915.84,0.0,0.0,2390.18,25696.19
00403_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,School Food Authority,4,3,084-902,GALVESTON,8,0,8,2024-06-01T00:00:00.000,14757,0,18248,0,0,39991.47,0.0,86130.56,0.0,0.0,12934.64,139056.67
00403_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,School Food Authority,4,3,084-902,GALVESTON,6,0,6,2024-07-01T00:00:00.000,3873,0,4142,0,0,10495.83,0.0,19550.24,0.0,0.0,3075.97,33122.04
00403_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,School Food Authority,4,3,084-902,GALVESTON,1,0,1,2024-08-01T00:00:00.000,995,0,1149,0,0,2696.45,0.0,5423.28,0.0,0.0,832.04,8951.77
00418_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,School Food Authority,13,3,089-903,GONZALES,1,0,1,2024-06-01T00:00:00.000,627,0,1087,0,0,1699.17,0.0,5130.64,0.0,0.0,703.07,7532.88
00418_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,School Food Authority,13,3,089-903,GONZALES,1,0,1,2024-07-01T00:00:00.000,285,0,488,0,0,772.35,0.0,2303.36,0.0,0.0,316.58,3392.29
00448_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00448,SEGUIN ISD,Educational Institution,School Food Authority,13,4,094-901,GUADALUPE,7,0,7,2024-06-01T00:00:00.000,9270,0,14078,0,0,25121.7,0.0,66448.16,0.0,0.0,9413.15,100983.01
00448_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00448,SEGUIN ISD,Educational Institution,School Food Authority,13,4,094-901,GUADALUPE,6,0,6,2024-07-01T00:00:00.000,2943,0,5286,0,0,7975.53,0.0,24949.92,0.0,0.0,3390.61,36316.06
00448_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00448,SEGUIN ISD,Educational Institution,School Food Authority,13,4,094-901,GUADALUPE,6,0,6,2024-08-01T00:00:00.000,332,0,613,0,0,899.72,0.0,2893.36,0.0,0.0,390.71,4183.79
00452_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00452,ABERNATHY ISD,Educational Institution,School Food Authority,17,1,095-901,HALE,1,0,1,2024-06-01T00:00:00.000,0,0,866,0,0,0.0,0.0,4087.52,0.0,0.0,426.51,4514.03
00456_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00456,PLAINVIEW ISD,Educational Institution,School Food Authority,17,1,095-905,HALE,3,0,3,2024-06-01T00:00:00.000,2118,0,3443,0,0,5739.78,0.0,16250.96,0.0,0.0,2262.25,24252.99
00456_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00456,PLAINVIEW ISD,Educational Institution,School Food Authority,17,1,095-905,HALE,1,0,1,2024-07-01T00:00:00.000,198,0,449,0,0,536.58,0.0,2119.28,0.0,0.0,274.1,2929.96
00457_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00457,MEMPHIS ISD,Educational Institution,School Food Authority,16,1,096-904,HALL,1,0,1,2024-06-01T00:00:00.000,64,0,207,0,0,173.44,0.0,977.04,0.0,0.0,119.07,1269.55
00514_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00514,ALIEF ISD,Educational Institution,School Food Authority,4,3,101-903,HARRIS,4,0,4,2024-05-01T00:00:00.000,444,0,1338,0,0,1203.24,0.0,6315.36,0.0,0.0,777.74,8296.34
00514_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00514,ALIEF ISD,Educational Institution,School Food Authority,4,3,101-903,HARRIS,22,0,22,2024-06-01T00:00:00.000,49399,0,113834,0,0,133871.29,0.0,537296.48,0.0,0.0,69277.48,740445.25
00514_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00514,ALIEF ISD,Educational Institution,School Food Authority,4,3,101-903,HARRIS,12,0,12,2024-07-01T00:00:00.000,847,0,1321,0,0,2295.37,0.0,6235.12,0.0,0.0,877.16,9407.65
00514_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00514,ALIEF ISD,Educational Institution,School Food Authority,4,3,101-903,HARRIS,1,0,1,2024-08-01T00:00:00.000,10,0,31,0,0,27.1,0.0,146.32,0.0,0.0,17.95,191.37
00515_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00515,CHANNELVIEW ISD,Educational Institution,School Food Authority,4,3,101-905,HARRIS,1,0,1,2024-05-01T00:00:00.000,0,0,350,0,0,0.0,0.0,1652.0,0.0,0.0,172.38,1824.38
00515_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00515,CHANNELVIEW ISD,Educational Institution,School Food Authority,4,3,101-905,HARRIS,2,0,2,2024-06-01T00:00:00.000,5806,0,10154,0,0,15734.26,0.0,47926.88,0.0,0.0,6553.96,70215.1
00515_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00515,CHANNELVIEW ISD,Educational Institution,School Food Authority,4,3,101-905,HARRIS,1,0,1,2024-07-01T00:00:00.000,18,0,84,0,0,48.78,0.0,396.48,0.0,0.0,46.19,491.45
00521_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00521,GOOSE CREEK CISD,Educational Institution,School Food Authority,4,3,101-911,HARRIS,17,0,17,2024-05-01T00:00:00.000,1114,0,2570,0,0,3018.94,0.0,12130.4,0.0,0.0,1563.73,16713.07
00521_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00521,GOOSE CREEK CISD,Educational Institution,School Food Authority,4,3,101-911,HARRIS,22,0,22,2024-06-01T00:00:00.000,4376,0,11025,0,0,11858.96,0.0,52038.0,0.0,0.0,6600.39,70497.35
00521_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00521,GOOSE CREEK CISD,Educational Institution,School Food Authority,4,3,101-911,HARRIS,12,0,12,2024-07-01T00:00:00.000,185,0,2073,0,0,501.35,0.0,9784.56,0.0,0.0,1070.44,11356.35
00524_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00524,KATY ISD,Educational Institution,School Food Authority,4,3,101-914,HARRIS,7,0,7,2024-06-01T00:00:00.000,17042,0,35312,0,0,46183.82,0.0,166672.64,0.0,0.0,21949.9,234806.36
00524_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00524,KATY ISD,Educational Institution,School Food Authority,4,3,101-914,HARRIS,3,0,3,2024-07-01T00:00:00.000,307,0,3314,0,0,831.97,0.0,15642.08,0.0,0.0,1714.27,18188.32
00531_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00531,SHELDON ISD,Educational Institution,School Food Authority,4,3,101-924,HARRIS,7,0,7,2024-06-01T00:00:00.000,10244,0,13200,0,0,27761.24,0.0,62304.0,0.0,0.0,9241.27,99306.51
00531_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00531,SHELDON ISD,Educational Institution,School Food Authority,4,3,101-924,HARRIS,1,0,1,2024-07-01T00:00:00.000,100,0,192,0,0,271.0,0.0,906.24,0.0,0.0,121.31,1298.55
00615_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00615,FT HANCOCK ISD,Educational Institution,School Food Authority,19,1,115-901,HUDSPETH,1,0,1,2024-05-01T00:00:00.000,483,0,576,0,0,1308.93,0.0,2718.72,0.0,0.0,412.88,4440.53
00615_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00615,FT HANCOCK ISD,Educational Institution,School Food Authority,19,1,115-901,HUDSPETH,1,0,1,2024-06-01T00:00:00.000,1916,0,1922,0,0,5192.36,0.0,9071.84,0.0,0.0,1459.12,15723.32
00665_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00665,CLEBURNE ISD,Educational Institution,School Food Authority,11,2,126-903,JOHNSON,2,0,2,2024-06-01T00:00:00.000,2907,0,5895,0,0,7877.97,0.0,27824.4,0.0,0.0,3680.91,39383.28
00686_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00686,TERRELL ISD,Educational Institution,School Food Authority,10,2,129-906,KAUFMAN,4,0,4,2024-06-01T00:00:00.000,4306,0,7427,0,0,11669.26,0.0,35055.44,0.0,0.0,4809.66,51534.36
00686_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00686,TERRELL ISD,Educational Institution,School Food Authority,10,2,129-906,KAUFMAN,3,0,3,2024-07-01T00:00:00.000,388,0,695,0,0,1051.48,0.0,3280.4,0.0,0.0,446.08,4777.96
00686_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00686,TERRELL ISD,Educational Institution,School Food Authority,10,2,129-906,KAUFMAN,1,0,1,2024-08-01T00:00:00.000,34,0,48,0,0,92.14,0.0,226.56,0.0,0.0,32.74,351.44
00703_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00703,MUNDAY CISD,Educational Institution,School Food Authority,9,1,138-903,KNOX,1,0,1,2024-05-01T00:00:00.000,168,0,311,0,0,455.28,0.0,1467.92,0.0,0.0,198.11,2121.31
00703_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00703,MUNDAY CISD,Educational Institution,School Food Authority,9,1,138-903,KNOX,1,0,1,2024-06-01T00:00:00.000,468,0,558,0,0,1268.28,0.0,2633.76,0.0,0.0,400.01,4302.05
00714_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00714,SUDAN ISD,Educational Institution,School Food Authority,17,1,140-908,LAMB,1,0,1,2024-06-01T00:00:00.000,0,0,385,0,0,0.0,0.0,1817.2,0.0,0.0,189.61,2006.81
00772_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00772,PALACIOS ISD,Educational Institution,School Food Authority,3,3,158-905,MATAGORDA,1,0,1,2024-06-01T00:00:00.000,609,0,1531,0,0,1650.39,0.0,7226.32,0.0,0.0,916.93,9793.64
00774_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00774,EAGLE PASS ISD,Educational Institution,School Food Authority,20,4,159-901,MAVERICK,1,0,1,2024-05-01T00:00:00.000,0,0,677,0,0,0.0,0.0,3195.44,0.0,0.0,333.42,3528.86
00774_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00774,EAGLE PASS ISD,Educational Institution,School Food Authority,20,4,159-901,MAVERICK,5,0,5,2024-06-01T00:00:00.000,0,0,15525,0,0,0.0,0.0,73278.0,0.0,0.0,7646.06,80924.06
00777_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00777,LOHN ISD,Educational Institution,School Food Authority,15,4,160-905,MCCULLOCH,1,0,1,2024-06-01T00:00:00.000,37,0,125,0,0,100.27,0.0,590.0,0.0,0.0,71.46,761.73
00802_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00802,NATALIA ISD,Educational Institution,School Food Authority,20,4,163-903,MEDINA,3,0,3,2024-06-01T00:00:00.000,887,245,1364,0,0,2403.77,269.5,6438.08,0.0,0.0,942.12,10053.47
00802_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00802,NATALIA ISD,Educational Institution,School Food Authority,20,4,163-903,MEDINA,1,0,1,2024-07-01T00:00:00.000,3,0,23,0,0,8.13,0.0,108.56,0.0,0.0,12.13,128.82
00844_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,00844,NACOGDOCHES ISD,Educational Institution,School Food Authority,7,3,174-904,NACOGDOCHES,2,0,2,2024-05-01T00:00:00.000,751,0,906,0,0,2035.21,0.0,4276.32,0.0,0.0,647.1,6958.63
